subject,sex,age,bigram_freq,concreteness,Initial,diversity,letters,item,correct,response_time,trans_prob,word_freq
24,1,48,207,4.72,barbed,1,4,wire,1,465,0.713793103,2269
21,1,18,381,3.87,fifty,78,4,five,1,467,0.044395246,40739
14,0,22,573,3.72,cash,134,4,flow,1,467,0.066721006,5244
13,1,29,187,4.7,eighth,21,4,army,1,467,0.146322379,11441
24,1,48,305,4.75,fleet,25,6,street,1,468,0.135736538,19614
7,0,38,8465,4.52,last,473,5,night,1,470,0.117273004,36529
1,1,30,305,4.75,fleet,25,6,street,1,470,0.135736538,19614
7,0,38,461,2.52,good,850,8,practice,1,471,0.005705799,17114
12,0,24,187,4.7,eighth,21,4,army,1,471,0.146322379,11441
18,1,25,311,2.07,recent,203,5,times,1,472,0.019611553,29910
8,1,30,8465,4.52,last,473,5,night,1,473,0.117273004,36529
27,1,46,437,4.97,acid,70,4,rain,1,473,0.087962963,6517
23,1,42,311,2.07,recent,203,5,times,1,475,0.019611553,29910
12,0,24,1769,3.27,second,498,4,half,1,475,0.042673807,29782
10,1,21,207,4.72,barbed,1,4,wire,1,475,0.713793103,2269
8,1,30,428,3.38,rugby,39,5,union,1,476,0.124238026,17607
25,1,47,4525,2,have,1900,4,done,1,476,0.009552601,35473
20,1,23,2745,3.22,wide,115,5,range,1,479,0.226279779,20427
14,0,22,381,3.87,fifty,78,4,five,1,479,0.044395246,40739
13,1,29,2083,4.89,their,3442,8,children,1,479,0.00798332,46608
23,1,42,187,4.7,eighth,21,4,army,1,480,0.146322379,11441
18,1,25,2083,4.89,their,3442,8,children,1,480,0.00798332,46608
11,1,20,599,4.79,inner,65,4,city,1,480,0.133407572,23247
1,1,30,428,3.38,rugby,39,5,union,1,481,0.124238026,17607
12,0,24,437,4.97,acid,70,4,rain,1,481,0.087962963,6517
23,1,42,437,4.97,acid,70,4,rain,1,482,0.087962963,6517
11,1,20,512,4.3,daily,74,4,post,1,482,0.067112335,9339
11,1,20,311,2.07,recent,203,5,times,1,482,0.019611553,29910
7,0,38,2745,3.22,wide,115,5,range,1,483,0.226279779,20427
13,1,29,437,4.97,acid,70,4,rain,1,484,0.087962963,6517
23,1,42,2083,4.89,their,3442,8,children,1,485,0.00798332,46608
23,1,42,8465,4.52,last,473,5,night,1,486,0.117273004,36529
14,0,22,551,4.07,shot,74,4,dead,1,486,0.067219715,12494
24,1,48,4530,1.73,make,376,4,sure,1,487,0.056994753,24595
7,0,38,508,4.9,credit,109,4,card,1,488,0.068881356,5739
8,1,30,305,4.75,fleet,25,6,street,1,488,0.135736538,19614
10,1,21,4530,1.73,make,376,4,sure,1,488,0.056994753,24595
29,0,29,207,4.72,barbed,1,4,wire,1,489,0.713793103,2269
10,1,21,187,4.7,eighth,21,4,army,1,489,0.146322379,11441
23,1,42,599,4.79,inner,65,4,city,1,490,0.133407572,23247
8,1,30,437,4.97,acid,70,4,rain,1,491,0.087962963,6517
10,1,21,2083,4.89,their,3442,8,children,1,492,0.00798332,46608
10,1,21,428,3.38,rugby,39,5,union,1,492,0.124238026,17607
7,0,38,1769,3.27,second,498,4,half,1,493,0.042673807,29782
7,0,38,311,2.07,recent,203,5,times,1,493,0.019611553,29910
8,1,30,551,4.07,shot,74,4,dead,1,493,0.067219715,12494
10,1,21,1872,2.69,armed,40,6,forces,1,493,0.390162568,11775
10,1,21,573,3.72,cash,134,4,flow,1,493,0.066721006,5244
11,1,20,5568,4.72,other,1749,4,hand,1,495,0.039172647,35352
8,1,30,4525,2,have,1900,4,done,1,496,0.009552601,35473
23,1,42,1872,2.69,armed,40,6,forces,1,496,0.390162568,11775
14,0,22,1872,2.69,armed,40,6,forces,1,496,0.390162568,11775
