Spelling  nchar  LogFreq_Zipf  DomPoS  FreqCount  BNC_freq  Spell_check  Double_word_entry
abominations  12  1.47  noun  5  17  UKUS  
abominator  10  1.47  name  5  0  UKUS  
aboriginal  10  3.26  adjective  362  220  UKUS  
aboriginals  11  2.37  name  46  35  UKUS  
aborigine  9  2.02  name  20  18  UKUS  
aborigines  10  2.5  name  63  152  UKUS  
abort  5  2.92  verb  166  106  UKUS  
aborted  7  2.8  adjective  125  159  UKUS  
aborting  8  2.16  verb  28  17  UKUS  
abortion  8  3.77  noun  1175  1249  UKUS  
abortionist  11  2  noun  19  7  UKUS  
abortionists  12  1.65  noun  8  2  UKUS  
abortions  9  3.04  noun  218  269  UKUS  
abortive  8  2.11  adjective  25  252  UKUS  
aborts  6  1.39  verb  4  7  UKUS  
abound  6  2.73  verb  107  278  UKUS  
abounded  8  2.08  verb  23  103  UKUS  
abounding  9  1.7  verb  9  31  UKUS  
abounds  7  2.29  verb  38  78  UKUS  
about  5  6.51  preposition  657540  197116  UKUS  
above  5  4.94  preposition  17738  25748  UKUS  
abracadabra  11  2.96  name  183  13  UKUS  
abrade  6  1.17  adjective  2  9  UKUS  
abraded  7  1.3  adjective  3  20  UKUS  
abrades  7  1.17  verb  2  0  UKUS  
abrading  8  1.17  verb  2  5  UKUS  
abrasion  8  2.32  noun  41  69  UKUS  
abrasions  9  2.48  noun  60  32  UKUS  
abrasive  8  2.79  adjective  124  233  UKUS  
abrasiveness  12  1.3  noun  3  11  UKUS  
abrasives  9  1.39  noun  4  22  UKUS  
abreast  7  2.8  noun  126  196  UKUS  
abridge  7  2.06  name  22  15  UKUS  
abridged  8  1.97  adjective  18  55  UKUS  
abridgement  11  1.17  noun  2  34  UKUS  
abroad  6  4.34  adverb  4458  3941  UKUS  
abrogate  8  1.3  verb  3  16  UKUS  
abrogated  9  1.17  adjective  2  57  UKUS  
abrogating  10  1.3  verb  3  14  UKUS  
abrogation  10  1.47  noun  5  32  UKUS  
abrupt  6  3.04  adjective  220  499  UKUS  
abruption  9  2.06  noun  22  1  UKUS  
abruptly  8  2.83  adverb  135  1238  UKUS  
abruptness  10  1.3  noun  3  33  UKUS  
abs  3  3.45  name  562  85  UKUS  
abscess  7  2.95  noun  177  50  UKUS  
abscesses  9  2.23  noun  33  52  UKUS  
abscond  7  2.26  verb  36  24  UKUS  
absconded  9  2.41  verb  51  47  UKUS  
absconding  10  2.04  verb  21  31  UKUS  
absconds  8  1.54  noun  6  5  UKUS  
abseil  6  2.74  verb  111  92  UKUS  
abseiled  8  2.23  verb  33  22  UKUS  
abseiling  9  2.89  verb  155  84  UKUS  
abseils  7  1.17  verb  2  23  UKUS  
absence  7  3.89  noun  1558  5780  UKUS  
absences  8  2.2  noun  31  169  UKUS  
absent  6  3.51  adjective  655  1567  UKUS  
absented  8  1.6  adjective  7  17  UKUS  
absentee  8  2.94  adjective  173  150  UKUS  
absenteeism  11  2.3  noun  39  170  UKUS  
absentees  9  2.11  noun  25  82  UKUS  
absentia  8  1.84  noun  13  1  UKUS  
absenting  9  1.17  adjective  2  10  UKUS  
absentminded  12  1.47  adjective  5  3  UKUS  absent minded
absentmindedly  14  1.3  adverb  3  32  UKUS  absent mindedly
absinthe  8  2.68  noun  95  11  UKUS  
absolute  8  4.62  adjective  8331  3499  UKUS  
absolutely  10  5.58  adverb  76135  5847  UKUS  
absolutes  9  2.13  noun  26  54  UKUS  
absolution  10  2.16  noun  28  70  UKUS  
absolutism  10  1.84  noun  13  63  UKUS  
absolutist  10  1.7  adjective  9  49  UKUS  
absolve  7  2.47  verb  59  45  UKUS  
absolved  8  2.2  adjective  31  85  UKUS  
absolves  8  1.3  verb  3  10  UKUS  
absolving  9  1.6  verb  7  15  UKUS  
absorb  6  3.65  verb  909  809  UKUS  
absorbable  10  1.17  adjective  2  1  UKUS  
absorbed  8  3.5  verb  642  1559  UKUS  
absorbency  10  1.3  noun  3  24  UKUS  
absorbent  9  2.64  adjective  86  68  UKUS  
absorber  8  2.21  noun  32  19  UKUS  
absorbers  9  2.26  noun  36  26  UKUS  
absorbing  9  3.22  verb  334  429  UKUS  
absorbs  7  3.03  verb  215  168  UKUS  
