age,bigram_frequency,concreteness,correct,diversity,word_freq,initial,letters,response_time,sex,subject,item,trans_prob
20,,,1,,,works,5,436,0,13,arnde,0
21,,,1,,,art,5,436,1,20,ainde,0
19,17,3,1,196,8238,four,3,436,1,26,add,0.000303523
19,103,2.73,1,111,10437,offer,6,436,1,3,advice,0.001386001
20,,,1,,,field,5,436,0,4,apsed,0
20,,,1,,,speech,4,437,0,13,atru,0
21,336,1.77,1,1743,197116,with,5,437,1,18,about,0.0000261
20,10,3.97,1,259,966,back,6,437,1,19,aboard,0.000489
20,10,2.72,1,11,3941,shipped,6,437,1,19,abroad,0.022099448
21,0,1.77,1,0,197116,acronym,5,437,1,20,about,0
22,10,2,1,119,56231,green,5,437,1,21,again,0.00177632
22,,,1,,,mug,6,437,1,21,alched,0
20,28,2.38,1,19,30410,scarcely,4,437,1,29,able,0.007159905
20,,,1,,,works,5,437,0,32,arnde,0
20,103,2.73,1,111,10437,offer,6,437,0,7,advice,0.001386001
20,,,1,,,nudge,6,437,0,7,awshed,0
19,10,2.74,1,8,15429,finite,6,437,1,9,amount,0.025316456
19,35,3.08,1,750,15891,our,7,438,0,11,account,0.000336821
19,0,3.33,1,0,25748,dissemble,5,438,0,11,above,0
19,0,1.52,1,0,2682878,drubs,3,438,0,11,and,0
21,10,2.59,1,19,1600,flood,5,438,1,15,alert,0.022222222
21,,,1,,,raw,5,438,1,22,aiced,0
20,,,1,,,connection,5,438,1,25,aunde,0
20,0,4.4,1,0,5078,saccade,5,438,1,30,adult,0
20,35,2.86,1,4,22099,reflex,6,438,0,32,action,0.046321526
20,,,1,,,hugs,4,438,1,6,aths,0
20,40,3.32,1,12,7290,chronic,6,438,0,7,active,0.006462985
20,,,1,,,bed,8,438,0,7,aughntch,0
19,,,1,,,girl,5,438,1,9,anzed,0
20,281,1.52,1,143,2682878,few,3,439,1,1,and,0.001304734
22,21,3.32,1,201,7290,under,6,439,1,21,active,0.004194452
21,14,2.27,1,295,262447,big,3,439,1,22,all,0.00121179
21,13,1.77,1,1,197116,brag,5,439,1,22,about,0.351351351
20,0,1.77,1,0,197116,acronym,5,439,1,25,about,0
20,11,2.73,1,16,10437,cab,6,439,1,30,advice,0.01616031
22,,,1,,,easter,5,439,0,31,aroit,0
19,16,4.11,1,2,19076,ambient,3,440,0,11,air,0.0778
19,,,1,,,advance,6,440,0,11,ashluk,0
21,37,3,1,19,8238,pan,3,440,1,20,add,0.085470085
21,10,2.72,1,11,3941,shipped,6,440,1,22,abroad,0.022099448
19,,,1,,,involved,5,440,0,23,arned,0
19,35,3.08,1,750,15891,our,7,440,1,24,account,0.000336821
19,11,2.45,1,16,3304,recruit,6,440,1,26,affair,0.041797283
19,,,1,,,table,6,440,1,27,amonte,0
20,0,3.14,1,0,4254,habitat,5,440,0,32,alive,0
20,,,1,,,account,3,440,0,4,ank,0
20,,,1,,,group,4,440,0,4,aizo,0
20,15,2.31,1,6,5780,virtual,7,440,0,7,absence,0.013559322
19,22,2.71,1,7,3597,racial,5,440,1,9,abuse,0.01875
20,13,2.71,1,597,3597,who,5,441,1,1,abuse,0.000174
21,153,2.31,1,1375,5780,their,7,441,1,10,absence,0.0000422
22,35,2.86,1,4,22099,reflex,6,441,0,17,action,0.046321526
22,0,2.12,1,0,117138,trellis,5,441,0,17,after,0
21,131,2.45,1,289,3304,whole,6,441,1,20,affair,0.000535834
22,,,1,,,final,5,441,1,21,ainns,0
21,,,1,,,final,5,441,1,22,ainns,0
19,0,1.77,1,0,197116,acronym,5,441,1,24,about,0
22,24,2.27,1,3,262447,amidst,3,441,0,31,all,0.296370968
20,10,3.48,1,103,1637,natural,6,441,0,4,allies,0.015857492
20,0,3.33,1,0,25748,dissemble,5,441,1,6,above,0
20,,,1,,,connection,5,441,1,8,aunde,0
19,0,1.77,1,0,197116,acronym,5,442,0,11,about,0
19,,,1,,,manage,4,442,0,11,acth,0.016881827
21,,,1,,,hugs,4,442,1,15,aths,0
22,,,1,,,city,5,442,0,17,awtch,0
22,35,2.86,1,4,22099,reflex,6,442,1,21,action,0.046321526
19,14,2.71,1,787,10940,any,6,442,0,23,access,0.0000886
22,10,3.07,1,144,25203,support,6,442,1,28,across,0.00187699
20,,,1,,,sheet,5,442,1,30,armth,0
20,,,1,,,table,6,442,0,4,amonte,0
21,11,4.11,1,122,19076,former,3,443,1,14,air,0.001237259
21,0,2.74,1,0,15429,chevron,6,443,1,14,amount,0
21,11,1.57,1,110,1159,trade,6,443,1,15,accord,0.000700666
19,14,2.27,1,295,262447,big,3,443,1,24,all,0.00121179
20,336,1.77,1,1743,197116,with,5,443,1,25,about,0.0000261
20,10,3.97,1,259,966,back,6,443,1,30,aboard,0.000489
20,,,1,,,socks,4,443,1,30,almn,0
20,,,1,,,raw,5,443,0,7,aiced,0
21,35,3.08,1,750,15891,our,7,444,1,14,account,0.000336821
21,35,2.38,1,2048,30410,or,4,444,0,2,able,0.0000324
21,,,1,,,bed,8,444,0,2,aughntch,0
22,0,3.32,1,0,7290,wicket,6,444,1,21,active,0
19,24,2.46,1,342,27467,every,3,444,1,26,act,0.000772355
19,22,2.71,1,7,3597,racial,5,444,1,26,abuse,0.01875
19,37,3,1,19,8238,pan,3,444,1,27,add,0.085470085
20,,,1,,,please,5,444,1,29,alned,0
20,24,2.86,1,3,21857,bygone,3,444,1,30,age,0.155339806
19,11,2.74,1,109,15429,extra,6,444,0,5,amount,0.00199078
20,0,1.45,1,0,2220,imbue,8,444,0,7,abstract,0
20,153,2.31,1,1375,5780,their,7,444,1,8,absence,0.0000422
21,24,2.86,1,3,21857,bygone,3,445,1,22,age,0.155339806
19,,,1,,,works,5,445,0,23,arnde,0
19,24,2.86,1,3,21857,bygone,3,445,1,27,age,0.155339806
19,,,1,,,city,5,445,1,27,awtch,0
19,0,3,1,0,8238,quad,3,445,1,3,add,0
19,22,1.8,1,240,56208,white,7,445,0,5,against,0.000814531
20,11,1.57,1,110,1159,trade,6,445,1,6,accord,0.000700666
19,,,1,,,coding,4,446,0,11,ance,0
21,35,2.38,1,2048,30410,or,4,446,1,14,able,0.0000324
21,281,1.52,1,143,2682878,few,3,446,1,15,and,0.001304734
21,,,1,,,front,5,446,1,16,apths,0
21,,,1,,,phone,6,446,1,18,athrex,0
21,28,2.38,1,19,30410,scarcely,4,446,0,2,able,0.007159905
21,17,2,1,7,56231,surfaced,5,446,1,22,again,0.038674033
19,24,2.46,1,342,27467,every,3,446,0,23,act,0.000772355
20,0,3.33,1,0,25748,dissemble,5,446,0,32,above,0
20,35,2.38,1,2048,30410,or,4,446,0,4,able,0.0000324
20,17,2,1,7,56231,surfaced,5,446,0,4,again,0.038674033
20,0,3.33,1,0,25748,dissemble,5,446,0,4,above,0
20,35,3.08,1,750,15891,our,7,447,0,13,account,0.000336821
21,13,2.71,1,597,3597,who,5,447,1,15,abuse,0.000174
21,0,2.46,1,0,27467,elixir,3,447,1,15,act,0
21,0,2.72,1,0,3941,talisman,6,447,0,2,abroad,0
19,,,1,,,march,6,447,1,24,ancsed,0
19,0,4.4,1,0,5078,saccade,5,447,1,27,adult,0
20,10,3.97,1,259,966,back,6,447,0,4,aboard,0.000489
20,10,1.52,1,1,2682878,acne,3,447,0,4,and,0.0746
20,,,1,,,hugs,4,447,0,4,aths,0
19,336,1.77,1,1743,197116,with,5,447,0,5,about,0.0000261
20,11,2.73,1,16,10437,cab,6,447,0,7,advice,0.01616031
19,,,1,,,month,4,447,1,9,abbs,0.000588755
21,10,3.07,1,144,25203,support,6,448,1,20,across,0.00187699
19,21,3.32,1,201,7290,under,6,448,1,24,active,0.004194452
19,0,3.97,1,0,966,comely,6,448,1,27,aboard,0
22,,,1,,,forward,6,448,1,28,arthed,0
19,35,3.08,1,750,15891,our,7,448,1,3,account,0.000336821
20,0,2.71,1,0,3597,opulent,5,448,1,30,abuse,0
20,0,4.4,1,0,5078,saccade,5,448,0,4,adult,0
19,51,3.48,1,2,1637,wartime,6,448,0,5,allies,0.048710602
19,12,4.4,1,15,5078,mature,5,448,1,9,adult,0.006774362
20,,,1,,,clearly,6,449,0,13,awcked,0
21,,,1,,,works,5,449,1,14,arnde,0
19,0,2.31,1,0,5780,ribbed,7,449,0,23,absence,0
20,13,1.77,1,1,197116,brag,5,449,1,25,about,0.351351351
22,,,1,,,connection,5,449,1,28,aunde,0
22,,,1,,,market,5,449,1,28,awhus,0
20,,,1,,,art,5,449,1,30,ainde,0
19,10,2.59,1,19,1600,flood,5,449,0,5,alert,0.022222222
19,,,1,,,sound,6,449,0,5,awphth,0
21,16,4.11,1,2,19076,ambient,3,450,1,10,air,0.0778
19,,,1,,,picture,6,450,0,11,anuque,0
22,,,1,,,fire,5,450,0,17,aifes,0
21,10,2,1,119,56231,green,5,450,0,2,again,0.00177632
21,10,1.52,1,1,2682878,acne,3,450,0,2,and,0.0746
21,22,2.71,1,7,3597,racial,5,450,1,22,abuse,0.01875
19,,,1,,,month,4,450,1,24,abbs,0.000588755
19,22,1.8,1,240,56208,white,7,450,1,26,against,0.000814531
19,43,2.59,1,138,1600,red,5,450,1,27,alert,0.001453488
22,281,1.52,1,143,2682878,few,3,450,1,28,and,0.001304734
19,,,1,,,forward,6,450,1,3,arthed,0
20,0,2.86,1,0,22099,xylophone,6,450,1,30,action,0
22,,,1,,,hugs,4,450,0,31,aths,0
20,,,1,,,recent,5,450,0,32,aived,0
20,13,1.77,1,1,197116,brag,5,450,0,7,about,0.351351351
20,0,3,1,0,8238,quad,3,451,1,1,add,0
21,0,2.74,1,0,15429,chevron,6,451,1,10,amount,0
22,,,1,,,easy,3,451,1,12,ags,0
20,,,1,,,front,5,451,0,13,apths,0
20,,,1,,,group,4,451,0,13,aizo,0
21,,,1,,,market,5,451,1,16,awhus,0
21,0,4.4,1,0,5078,saccade,5,451,1,20,adult,0
20,10,4.4,1,252,5078,large,5,451,1,25,adult,0.000444168
20,35,2.86,1,4,22099,reflex,6,451,1,25,action,0.046321526
19,21,3.32,1,201,7290,under,6,451,1,27,active,0.004194452
20,,,1,,,project,6,451,0,4,ainged,0
19,,,1,,,yearly,4,451,0,5,aoll,0
20,11,1.57,1,110,1159,trade,6,451,0,7,accord,0.000700666
20,25,2.86,1,155,22099,common,6,451,1,8,action,0.000712368
21,0,2.31,1,0,5780,ribbed,7,452,1,10,absence,0
21,,,1,,,coding,4,452,1,20,ance,0
19,,,1,,,please,5,452,0,23,alned,0
22,,,1,,,answer,4,452,0,31,aggs,0
20,10,3.33,1,2,25748,airspace,5,452,1,6,above,0.117647059
20,,,1,,,connection,5,452,1,6,aunde,0
19,,,1,,,involved,5,452,1,9,arned,0
21,10,1.45,1,395,2220,these,8,453,1,10,abstract,0.000112
21,,,1,,,involved,5,453,1,15,arned,0
21,59,2.86,1,102,21857,modern,3,453,1,18,age,0.000758725
22,22,1.8,1,240,56208,white,7,453,1,21,against,0.000814531
19,11,2.74,1,109,15429,extra,6,453,0,23,amount,0.00199078
19,43,2.59,1,138,1600,red,5,453,0,23,alert,0.001453488
19,,,1,,,hugs,4,453,1,24,aths,0
20,0,3.33,1,0,25748,dissemble,5,453,1,30,above,0
22,10,3.33,1,2,25748,airspace,5,453,0,31,above,0.117647059
22,68,1.8,1,1,56208,grudge,7,453,0,31,against,0.352331606
20,,,1,,,advance,6,453,0,32,ashluk,0
19,0,3.07,1,0,25203,assemblage,6,453,0,5,across,0
19,10,2,1,119,56231,green,5,453,1,9,again,0.00177632
19,59,2.86,1,102,21857,modern,3,453,1,9,age,0.000758725
19,,,1,,,ways,6,453,1,9,almbed,0
21,,,1,,,letter,5,454,1,15,ardge,0
21,,,1,,,phone,6,454,1,16,athrex,0
22,,,1,,,laminate,5,454,1,21,alemn,0
19,,,1,,,coding,4,454,1,24,ance,0
20,14,2.27,1,295,262447,big,3,454,0,32,all,0.00121179
20,,,1,,,city,5,454,1,6,awtch,0
20,,,1,,,answer,4,454,0,7,aggs,0
20,,,1,,,excel,5,454,0,7,aifed,0
21,24,2.27,1,3,262447,amidst,3,455,1,10,all,0.296370968
22,,,1,,,lead,5,455,1,12,aized,0
20,20,3.33,1,199,25748,face,5,455,0,13,above,0.000343073
21,,,1,,,advance,6,455,1,14,ashluk,0
21,17,2,1,7,56231,surfaced,5,455,1,16,again,0.038674033
22,26,2.46,1,3,27467,wrongful,3,455,0,17,act,0.07804878
21,33,2.72,1,148,3941,working,6,455,0,2,abroad,0.0007179
19,,,1,,,poor,5,455,0,23,aphth,0
19,,,1,,,tank,6,455,1,3,aruild,0
20,14,2.27,1,295,262447,big,3,455,1,30,all,0.00121179
22,100,3.14,1,125,4254,kept,5,455,0,31,alive,0.002446526
20,336,1.77,1,1743,197116,with,5,455,0,32,about,0.0000261
20,336,1.77,1,1743,197116,with,5,455,0,4,about,0.0000261
19,14,2.71,1,787,10940,any,6,455,0,5,access,0.0000886
20,40,3.32,1,12,7290,chronic,6,455,1,6,active,0.006462985
19,12,2.12,1,220,117138,black,5,455,1,9,after,0.003132404
19,10,4.4,1,252,5078,large,5,456,0,11,adult,0.000444168
21,24,2.27,1,3,262447,amidst,3,456,1,16,all,0.296370968
21,,,1,,,poor,5,456,1,22,aphth,0
19,,,1,,,fire,5,456,1,24,aifes,0
20,,,1,,,involved,5,456,1,25,arned,0
19,10,1.45,1,395,2220,these,8,456,1,3,abstract,0.000112
19,,,1,,,final,5,456,1,3,ainns,0
20,,,1,,,hugs,4,456,0,32,aths,0
20,,,1,,,involved,5,456,0,4,arned,0
20,17,3,1,196,8238,four,3,457,1,1,add,0.000303523
19,0,2.73,1,0,10437,ley,6,457,0,11,advice,0
21,13,1.45,1,21,2220,purely,8,457,1,14,abstract,0.004290172
21,51,3.48,1,2,1637,wartime,6,457,1,16,allies,0.048710602
22,,,1,,,answer,4,457,0,17,aggs,0
22,,,1,,,force,6,457,0,17,aished,0
22,,,1,,,girl,5,457,0,17,anzed,0
21,0,1.52,1,0,2682878,drubs,3,457,0,2,and,0
19,51,3.48,1,2,1637,wartime,6,457,0,23,allies,0.048710602
19,17,2,1,7,56231,surfaced,5,457,1,24,again,0.038674033
22,16,4.11,1,2,19076,ambient,3,457,1,28,air,0.0778
22,,,1,,,month,4,457,1,28,abbs,0.000588755
19,40,3.32,1,12,7290,chronic,6,457,1,3,active,0.006462985
20,,,1,,,course,7,457,1,6,aughthe,0
20,22,1.8,1,240,56208,white,7,457,0,7,against,0.000814531
22,,,1,,,poor,5,458,1,12,aphth,0
21,,,1,,,output,5,458,1,14,anths,0
21,,,1,,,recent,5,458,1,14,aived,0
21,0,1.57,1,0,1159,nemesis,6,458,1,18,accord,0
20,,,1,,,clearly,6,458,1,19,awcked,0
21,,,1,,,speech,4,458,1,20,atru,0
20,,,1,,,field,5,458,0,32,apsed,0
